RunId,iteration,Step,width,height,density,minority_pc,homophily,k,policy,follow_policy,perc_happy,segregation
5446,82,100,50,50,0.75,0.4,3,1,recently_emptied,0.1,0.9983948635634029,0.6511503477795613
5426,82,100,50,50,0.75,0.4,3,1,distance_relevance,0.3,0.9704329461457233,0.6013727560718057
5466,82,4,50,50,0.75,0.4,3,1,similar_neighborhood,1.0,1.0,0.7792242295430393
5465,82,19,50,50,0.75,0.4,3,1,similar_neighborhood,0.9,1.0,0.7609046849757674
5467,82,21,50,50,0.75,0.4,3,1,different_neighborhood,0.0,1.0,0.6752522570366436
5366,81,100,50,50,0.75,0.4,3,1,distance_relevance,0.9,0.9269311064718163,0.5198329853862212
5123,77,100,50,50,0.75,0.4,3,1,recently_emptied,0.8,0.9661375661375662,0.6503968253968254
5427,82,100,50,50,0.75,0.4,3,1,distance_relevance,0.4,0.9648936170212766,0.5876329787234043
5478,83,34,50,50,0.75,0.4,3,1,random,0.0,1.0,0.6518987341772152
5479,83,20,50,50,0.75,0.4,3,1,random,0.1,1.0,0.6526954177897574
5480,83,29,50,50,0.75,0.4,3,1,random,0.2,1.0,0.6630724174653887
5482,83,26,50,50,0.75,0.4,3,1,random,0.4,1.0,0.6679666487358795
5319,80,100,50,50,0.75,0.4,3,1,recently_emptied,0.6,0.9835106382978723,0.6578457446808511
5483,83,23,50,50,0.75,0.4,3,1,random,0.5,1.0,0.652592196686264
5367,81,100,50,50,0.75,0.4,3,1,distance_relevance,1.0,0.9233243967828418,0.5150134048257373
5381,81,100,50,50,0.75,0.4,3,1,recently_emptied,0.2,0.9888653234358431,0.6357370095440085
5481,83,37,50,50,0.75,0.4,3,1,random,0.3,1.0,0.6600700053850296
5484,83,24,50,50,0.75,0.4,3,1,random,0.6,1.0,0.6767782426778243
5485,83,19,50,50,0.75,0.4,3,1,random,0.7,1.0,0.6682769726247987
5468,82,100,50,50,0.75,0.4,3,1,different_neighborhood,0.1,0.996244635193133,0.6330472103004292
5486,83,26,50,50,0.75,0.4,3,1,random,0.8,1.0,0.6396744930629669
5487,83,19,50,50,0.75,0.4,3,1,random,0.9,1.0,0.6643007360672976
5488,83,29,50,50,0.75,0.4,3,1,random,1.0,1.0,0.664484233030465
5489,83,16,50,50,0.75,0.4,3,1,distance_relevance,0.0,1.0,0.6533907427341227
5383,81,100,50,50,0.75,0.4,3,1,recently_emptied,0.4,0.9875389408099688,0.6586188992731049
5428,82,100,50,50,0.75,0.4,3,1,distance_relevance,0.5,0.9554721030042919,0.5702789699570815
5470,82,100,50,50,0.75,0.4,3,1,different_neighborhood,0.3,0.9968304278922345,0.6611199154780771
5188,78,100,50,50,0.75,0.4,3,1,recently_emptied,0.7,0.9703075291622482,0.6463414634146342
